Pc,HPFTP_w,HPOTP_w,LPFTP_w,LPOTP_w,PBOBP_w,Pc_FPB,Pc_OPB,MFV_m,MOV_m,OPOV_m,FPOV_m,T_Nozzle_Cooling_exit,HGM_Temp,Man_OX_Temp,Man_H2_Temp,Man_MCC_COOL_Pres,HPFTP_p_pump_out,HPOTP_p_pump_out,LPFTP_p_pump_out,LPOTP_p_pump_out,PBOBP_p_pump_out,HPFTP_T_turb_inlet,HPOTP_T_turb_inlet,LPFTP_T_turb_inlet,LPOTP_T_turb_inlet
194.96,44245,27297,29102,4131.5,27297,376.2,349.86,74.119,382.24,12.267,32.597,235.84,679.61,107.72,62.389,220.07,414.328,296.223,34.2015,18.9429,550.711,945.907,620.741,414.631,104.704
193.29,44305,27294,29085,4136.1,27294,374.23,347.24,74.259,376.72,12.104,32.455,234.79,674.23,110.27,62.638,218.24,412.052,294.351,33.9305,18.962,545.991,940.337,610.824,414.479,106.936
193.45,44243,27247,29200,4128,27247,373.83,347.23,74.122,377.68,12.098,32.443,235.85,675.34,109.29,62.566,218.51,411.967,294.365,34.3175,18.9482,546.328,947.373,612.009,408.461,106.084
193.73,44335,27200,29184,4123.3,27200,374.9,347.54,74.493,377.46,12.065,32.575,234.83,673.39,108.41,62.625,218.72,412.129,294.927,34.1756,19.0156,546.76,945.186,606.992,409.368,105.323
193.13,44185,27256,29163,4132.9,27256,374.25,347.41,74.454,375.75,12.095,32.434,234.9,672.07,110.01,62.084,218.71,411.932,294.442,34.3531,19.0132,545.665,942.292,610.257,405.737,106.712
193.25,44146,27336,29048,4141.1,27336,373.09,346.75,74.178,377.03,12.144,32.208,235.08,672.15,110.95,62.177,217.85,410.384,294.083,33.9794,18.9223,546.317,931.145,615.796,415.135,107.523
194.64,44282,27278,29079,4134.3,27278,376.32,350.01,74.328,380.65,12.221,32.642,235.31,677.65,107.58,62.428,219.99,413.234,297.171,34.0337,19.0831,551.481,946.581,613.424,414.886,104.572
194.69,44279,27306,29217,4133.8,27306,375.41,349.57,73.845,382.2,12.273,32.551,236.82,681.74,107.77,62.918,219.93,411.892,296.528,34.2655,18.9698,551.304,951.873,623.565,411.606,104.738
193.41,43974,27270,29123,4126.6,27270,372.36,346.64,73.678,379.08,12.177,32.057,235.91,675.15,109.69,61.955,218.39,409.9,293.327,34.3705,18.8145,546.073,935.271,624.674,410.783,106.445
193.82,44265,27240,29181,4123.9,27240,374.45,347.88,73.925,379.33,12.138,32.485,236.2,678.27,108.65,62.771,219.06,412.168,294.308,34.2194,18.8907,546.742,949.296,615.813,411.166,105.535
193.27,44230,27237,29136,4121.8,27237,372.95,345.91,73.733,378.32,12.102,32.261,235.57,676.5,109.59,62.812,217.88,411.271,292.868,34.0792,18.804,544.59,938.766,620.085,414.467,106.367
194.29,44264,27371,29183,4152.2,27371,376.17,349.66,74.633,378.61,12.273,32.621,235.14,675.3,109.37,62.155,219.72,413.758,297.744,34.4092,19.1683,551.719,942.922,618.957,406.722,106.111
194.25,44130,27124,29053,4107.1,27124,375.12,348.42,74.404,379.49,12.06,32.492,235.21,672.85,106.99,61.81,219.49,412.779,294.107,34.1947,18.9051,546.302,943.946,603.727,412.516,104.102
194.35,44267,27179,29198,4119.9,27179,375.88,348.93,74.531,379.25,12.125,32.635,235.53,674.63,107.06,62.326,219.78,412.503,295.977,34.3526,19.0549,548.886,948.259,609.236,407.179,104.142
193.46,44242,27339,29120,4137.6,27339,373.15,347.59,73.708,378.87,12.145,32.359,236.56,678.57,110.43,62.888,218.26,410.945,293.93,33.993,18.8448,546.526,948.881,613.754,415.832,107.074
193.64,44171,27262,29167,4122.1,27262,372.86,347.19,73.433,380.34,12.145,32.273,237.05,680.04,109.23,62.878,218.56,410.357,293.039,34.1675,18.746,545.701,949.204,619.565,413.915,106.047
193.66,44185,27250,29212,4132.2,27250,374.27,347.68,74.459,377.39,12.126,32.442,234.9,672.62,108.96,62.11,218.78,411.906,295.541,34.4816,19.0591,548.044,943.25,612.08,404.994,105.791
194.95,44312,27385,29284,4155.6,27385,377.22,350.59,74.365,381.28,12.416,32.698,236.44,680.71,107.7,62.541,220.65,414.519,300.144,34.6178,19.2852,556.274,945.779,635.255,404.123,104.639
194.34,44315,27300,29303,4139.3,27300,376.36,349.34,74.895,378.01,12.182,32.754,235.37,673.73,109.09,62.19,219.8,414.196,296.247,34.7073,19.0754,548.727,950.717,611.474,399.731,105.893
195.08,44332,27243,29217,4125.5,27243,376.89,350.44,74.318,381.96,12.22,32.78,236.31,679.8,106.79,62.653,220.57,413.933,296.653,34.3626,19.0023,550.79,956.172,614.043,409.132,103.895
194.77,44354,27256,29088,4134.3,27256,377.41,350.06,74.892,379.38,12.189,32.788,234.3,674.1,107.45,62.204,220.04,414.744,297.587,34.0977,19.1627,551.256,942.911,608.769,412.212,104.46
193.78,44213,27350,29231,4150.6,27350,374.61,348.65,74.459,377.64,12.214,32.5,235.59,674.47,109.51,62.193,219,412.406,297.508,34.5182,19.1902,551.279,945.997,615.663,404.442,106.24
195.39,44589,27274,29280,4131.2,27274,377.88,351.23,74.372,382.54,12.212,33.065,236.43,683.15,106.54,63.574,220.64,414.597,297.74,34.1518,19.0618,552.233,967.43,608.762,411.336,103.664
194.28,44220,27408,29211,4150.8,27408,374.62,349.5,74.136,380.03,12.247,32.551,236.11,678.56,110.07,62.384,219.26,413.48,296.207,34.4818,18.9792,550.215,954.349,615.076,408.283,106.736
193.67,44236,27188,29004,4117.1,27188,374.14,346.81,74.084,378.62,12.086,32.333,234.8,673.99,108.36,62.521,218.35,411.158,293.88,33.75,18.8971,546.066,933.089,613.516,419.744,105.285
193.48,44258,27214,29199,4121.2,27214,373.74,347.29,73.988,378.16,12.071,32.448,236.33,676.35,108.86,62.774,218.62,411.054,293.839,34.2152,18.8971,545.642,950.585,609.75,409.904,105.726
194.48,44316,27298,29262,4134.6,27298,375.22,349.07,74.07,380.9,12.228,32.573,236.68,679.44,108.14,62.932,219.57,411.542,296.356,34.3302,18.9986,550.492,951.459,619.636,408.909,105.071
193.71,44182,27260,29240,4126,27260,373.66,347.45,74.103,378.57,12.119,32.385,236.32,675.17,109.56,62.433,218.74,410.864,293.483,34.4544,18.839,545.428,947.455,613.828,406.369,106.33
194.73,44372,27321,29102,4140.5,27321,377.17,350.43,74.481,380.34,12.243,32.787,235.01,678.49,108.25,62.571,220.19,414.929,297.198,34.0686,19.0768,551.122,948.958,613.814,413.864,105.151
194,44213,27213,29152,4117.2,27213,373.98,347.73,74.012,379.77,12.092,32.421,235.64,676.08,108.52,62.565,218.84,411.03,293.409,34.1677,18.8087,545.669,947.683,609.915,412.605,105.427
193.4,44212,27290,29242,4135.1,27290,373.38,347.76,73.98,377.87,12.122,32.425,236.37,676.73,109.65,62.635,218.63,410.912,294.883,34.3974,18.9744,547.366,953.647,611.337,406.675,106.392
195.55,44355,27512,29133,4173.8,27512,378.45,352.7,74.498,382.62,12.499,32.839,235.97,682.28,108.58,62.437,221.15,416.101,301.383,34.2569,19.3053,558.717,946.907,630.549,412.398,105.39
193.81,43999,27133,29032,4099.7,27133,372.94,346.6,73.728,380.3,12.064,32.142,235.76,674.41,108.14,61.93,218.64,410.551,291.225,34.1403,18.6327,542.859,937,614.182,415.952,105.125
194.68,44419,27281,29224,4131.5,27281,376.19,349.52,74.422,380.44,12.168,32.763,236,678.03,108.16,62.955,219.65,413.102,295.915,34.1973,18.9755,549.21,954.267,609.627,410.651,105.092
194.88,44317,27278,29138,4132.9,27278,376.93,350.28,74.676,380.33,12.194,32.772,235.19,675.97,107.9,62.252,220.15,414.612,296.526,34.2584,19.0329,550.056,949.653,608.572,410.603,104.859
194.5,44287,27269,29265,4128.5,27269,375.02,348.92,74.02,381.13,12.2,32.572,236.72,679.52,107.88,62.827,219.56,412.153,295.76,34.4174,18.9486,549.61,953.857,617.622,408.288,104.846
194.02,44221,27247,29082,4128.5,27247,375.23,349.04,74.334,378.8,12.128,32.556,234.75,675.22,108.49,62.241,219.44,412.456,295.355,34.0928,18.9959,548.076,947.852,606.532,412.784,105.383
193.63,44084,27293,29129,4126.6,27293,372.47,347,73.686,379.66,12.141,32.169,236.34,676.25,110.08,62.381,218.26,409.683,292.631,34.1966,18.7252,545.097,941.916,617.393,413.57,106.784
193.13,44101,27102,29097,4107.3,27102,373.32,345.97,74.64,375.54,11.947,32.293,233.98,666.65,108.67,61.685,218.03,410.498,292.555,34.2433,18.908,542.75,934.735,599.924,408.158,105.577
194.55,44408,27321,29289,4145.1,27321,376.42,349.09,74.825,378.87,12.225,32.738,235.05,674.72,108.49,62.619,219.42,413.679,297.85,34.4704,19.1825,551.691,945.126,616.525,404.531,105.353
